"index","date","y","series_id"
2001 Jan,2001-01-01,2505011,"NUS"
2001 Feb,2001-02-01,2156873,"NUS"
2001 Mar,2001-03-01,2086568,"NUS"
2001 Apr,2001-04-01,1663832,"NUS"
2001 May,2001-05-01,1385163,"NUS"
2001 Jun,2001-06-01,1313119,"NUS"
2001 Jul,2001-07-01,1459919,"NUS"
2001 Aug,2001-08-01,1528483,"NUS"
2001 Sep,2001-09-01,1360871,"NUS"
2001 Oct,2001-10-01,1507428,"NUS"
2001 Nov,2001-11-01,1561970,"NUS"
2001 Dec,2001-12-01,1965873,"NUS"
2002 Jan,2002-01-01,2319273,"NUS"
2002 Feb,2002-02-01,2090786,"NUS"
2002 Mar,2002-03-01,2096915,"NUS"
2002 Apr,2002-04-01,1734549,"NUS"
2002 May,2002-05-01,1470504,"NUS"
2002 Jun,2002-06-01,1453967,"NUS"
2002 Jul,2002-07-01,1602849,"NUS"
2002 Aug,2002-08-01,1582079,"NUS"
2002 Sep,2002-09-01,1408599,"NUS"
2002 Oct,2002-10-01,1506936,"NUS"
2002 Nov,2002-11-01,1766395,"NUS"
2002 Dec,2002-12-01,2214167,"NUS"
2003 Jan,2003-01-01,2532736,"NUS"
2003 Feb,2003-02-01,2346489,"NUS"
2003 Mar,2003-03-01,2041522,"NUS"
2003 Apr,2003-04-01,1603853,"NUS"
2003 May,2003-05-01,1379497,"NUS"
2003 Jun,2003-06-01,1240196,"NUS"
2003 Jul,2003-07-01,1464704,"NUS"
2003 Aug,2003-08-01,1512522,"NUS"
2003 Sep,2003-09-01,1299128,"NUS"
2003 Oct,2003-10-01,1417234,"NUS"
2003 Nov,2003-11-01,1616154,"NUS"
2003 Dec,2003-12-01,2108690,"NUS"
2004 Jan,2004-01-01,2512844,"NUS"
2004 Feb,2004-02-01,2358946,"NUS"
2004 Mar,2004-03-01,1952607,"NUS"
2004 Apr,2004-04-01,1609746,"NUS"
2004 May,2004-05-01,1441557,"NUS"
2004 Jun,2004-06-01,1356266,"NUS"
2004 Jul,2004-07-01,1452339,"NUS"
2004 Aug,2004-08-01,1445892,"NUS"
2004 Sep,2004-09-01,1357712,"NUS"
2004 Oct,2004-10-01,1426546,"NUS"
2004 Nov,2004-11-01,1647979,"NUS"
2004 Dec,2004-12-01,2176020,"NUS"
2005 Jan,2005-01-01,2396713,"NUS"
2005 Feb,2005-02-01,2094357,"NUS"
2005 Mar,2005-03-01,2048169,"NUS"
2005 Apr,2005-04-01,1585188,"NUS"
2005 May,2005-05-01,1386917,"NUS"
2005 Jun,2005-06-01,1400018,"NUS"
2005 Jul,2005-07-01,1547608,"NUS"
2005 Aug,2005-08-01,1555887,"NUS"
2005 Sep,2005-09-01,1301829,"NUS"
2005 Oct,2005-10-01,1302758,"NUS"
2005 Nov,2005-11-01,1529693,"NUS"
2005 Dec,2005-12-01,2169754,"NUS"
2006 Jan,2006-01-01,2010926,"NUS"
2006 Feb,2006-02-01,1999359,"NUS"
2006 Mar,2006-03-01,1972165,"NUS"
2006 Apr,2006-04-01,1543302,"NUS"
2006 May,2006-05-01,1390353,"NUS"
2006 Jun,2006-06-01,1415134,"NUS"
2006 Jul,2006-07-01,1615241,"NUS"
2006 Aug,2006-08-01,1607830,"NUS"
2006 Sep,2006-09-01,1328565,"NUS"
2006 Oct,2006-10-01,1501925,"NUS"
2006 Nov,2006-11-01,1622364,"NUS"
2006 Dec,2006-12-01,1965718,"NUS"
2007 Jan,2007-01-01,2306943,"NUS"
2007 Feb,2007-02-01,2403778,"NUS"
2007 Mar,2007-03-01,1967388,"NUS"
2007 Apr,2007-04-01,1662412,"NUS"
2007 May,2007-05-01,1414428,"NUS"
2007 Jun,2007-06-01,1413254,"NUS"
2007 Jul,2007-07-01,1513157,"NUS"
2007 Aug,2007-08-01,1741755,"NUS"
2007 Sep,2007-09-01,1446674,"NUS"
2007 Oct,2007-10-01,1479110,"NUS"
2007 Nov,2007-11-01,1681149,"NUS"
2007 Dec,2007-12-01,2225994,"NUS"
2008 Jan,2008-01-01,2554281,"NUS"
2008 Feb,2008-02-01,2335770,"NUS"
2008 Mar,2008-03-01,2109623,"NUS"
2008 Apr,2008-04-01,1672724,"NUS"
2008 May,2008-05-01,1430242,"NUS"
2008 Jun,2008-06-01,1459015,"NUS"
2008 Jul,2008-07-01,1556011,"NUS"
2008 Aug,2008-08-01,1531863,"NUS"
2008 Sep,2008-09-01,1329726,"NUS"
2008 Oct,2008-10-01,1488645,"NUS"
2008 Nov,2008-11-01,1714971,"NUS"
2008 Dec,2008-12-01,2226478,"NUS"
2009 Jan,2009-01-01,2538368,"NUS"
2009 Feb,2009-02-01,2162215,"NUS"
